Asin,Timestamp,Pincode,City,Seller,Price,coupon_text
B015TQ7USO,2025-03-26 16:43:58,110001,delhi,Global Mart India,"7,087",no discount
B01LTHMG4K,2025-03-26 16:44:03,110001,delhi,Global Mart India,"9,676",1% coupon Terms
B0758338B2,2025-03-26 16:44:08,110001,delhi,Global Mart India,"5,144",1% coupon Terms
B075879G43,2025-03-26 16:44:13,110001,delhi,Global Mart India,"3,315",no discount
B002WTCLIQ,2025-03-26 16:44:18,110001,delhi,Global Mart India,"11,333",1% coupon Terms
B002WTCLG8,2025-03-26 16:44:24,110001,delhi,Global Mart India,"6,569",1% coupon Terms
B002WTCM3A,2025-03-26 16:44:30,110001,delhi,Global Mart India,"5,576",1% coupon Terms
B002WTCLJA,2025-03-26 16:44:35,110001,delhi,Global Mart India,"5,576",1% coupon Terms
B07B3YK2SH,2025-03-26 16:44:40,110001,delhi,Global Mart India,"4,341",1% coupon Terms
B002CQU52I,2025-03-26 16:44:45,110001,delhi,Global Mart India,"5,724",no discount
B0143LN6JI,2025-03-26 16:44:51,110001,delhi,no_buy_box,,
B07WMZTX28,2025-03-26 16:44:56,110001,delhi,Global Mart India,"3,857",no discount
B08M9QH3YY,2025-03-26 16:45:01,110001,delhi,Global Mart India,"4,783",no discount
B01DAKIH10,2025-03-26 16:45:07,110001,delhi,Global Mart India,"2,612",no discount
B088VG5GWS,2025-03-26 16:45:12,110001,delhi,Global Mart India,"4,435",₹50 coupon Terms
B097FCQFK4,2025-03-26 16:45:17,110001,delhi,no_buy_box,,
B07KRLHG8C,2025-03-26 16:45:23,110001,delhi,M&S NUTRITION,"8,355",1% coupon Terms
B085DTM83S,2025-03-26 16:45:28,110001,delhi,Global Mart India,"7,087",no discount
B00CHN1JU8,2025-03-26 16:45:34,110001,delhi,Global Mart India,"3,654",1% coupon Terms
B075882FKG,2025-03-26 16:45:39,110001,delhi,Global Mart India,"4,621",no discount
B0093ABMOQ,2025-03-26 16:45:44,110001,delhi,Global Mart India,"3,410",1% coupon Terms
B06XPQ1ZHT,2025-03-26 16:45:50,110001,delhi,Global Mart India,"5,267",no discount
B002CQU582,2025-03-26 16:45:54,110001,delhi,no_buy_box,,
B0058ABILW,2025-03-26 16:46:00,110001,delhi,Global Mart India,"5,645",no discount
B004NXYP5G,2025-03-26 16:46:05,110001,delhi,Global Mart India,"9,419",1% coupon Terms
B0011FY7MA,2025-03-26 16:46:11,110001,delhi,Global Mart India,"3,790",1% coupon Terms
B002CQU546,2025-03-26 16:46:16,110001,delhi,Global Mart India,"6,683",1% coupon Terms
B01DAKILC0,2025-03-26 16:46:21,110001,delhi,Global Mart India,"8,915",1% coupon Terms
